standard_text,dialect_text,dialect
কেমন আছো ?,আসো কোরোহম?,Barishal
আজকে আমার মন ভালো নেই,আইজ মোর মনডা ভালোনা ,Barishal
তুমি কি করো ?,ও মোনু হর কি?,Barishal
এই গরমে আমার কিছু ভালো লাগে না,এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা,Barishal
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল,Barishal
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো,Barishal
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে,Barishal
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়,Barishal
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই,Barishal
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে,Barishal
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে,Barishal
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়,Barishal
আম্মু ঐদিন ঠিক কথাই বলেছিলও,মাএ অইদিন হাস্সইঅ কথাই কইসেলে,Barishal
আম্মু সব সময় আমার মনের কথা বুঝে,মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে,Barishal
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না,Barishal
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না,Barishal
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে,Barishal
তোমাকে আমি কল দিবো না,তমারে মুই কল্ দিমুনা,Barishal
এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল,Barishal
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে,Barishal
সে এখন রাজশাহী চলে গেছে,হে আহন রাজ্শাহি গেসিগ্গা,Barishal
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,উনি আহন হেয়ার দস্গ গ লগে বিরি খায়,Barishal
সে একদমই হাসে না,হে আক্কালেই ভেত্কায় না,Barishal
সে আমাকে অপমান করে,হে মরে আক্সের অপমান হিরে,Barishal
তাঁর বই পরতে একদমই ভাল লাগে না,হ্যার বই পড়তে এক্কালেই ভালো লাগে না,Barishal
আপনার কি বই পড়ার অভ্যাস আছে ?,আমনের কি বই পড়ার অভ্যাস আছে?,Barishal
তুমি কি আমাকে চিনো ?,তুমি কি মোরে চেনো?,Barishal
আমি তোমাকে চিনতে  পারলাম  না,মুই তোমারে চেনতে পারলাম না,Barishal
আমি তোমাকে আগে কখনো দেখি নাই,মুই তোমারে আগে কহনো দেহি নাই,Barishal
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না,Barishal
আপনার পড়ালেখা করা উচিত,আমনের পড়াল্যাহা করা দরকার,Barishal
আপনাকে পড়ালেখা  করতে হবে,আমনের পড়াল্যাহা করতে হইবে,Barishal
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,Barishal
তোর পড়ালেখা কোরতে হবে,তোর পড়াল্যাহা করতে হইবে,Barishal
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর পড়াল্যাহা করবি না?,Barishal
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?,Barishal
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,Barishal
তুমি কি এখন খেতে বসবা  ?,তুমি কি এহন খাইতে ববা?,Barishal
আজকে আমার খেতে ভালো লাগছে না,আইজগো মোর খাইতে ভালো লাগতেয়াছে না,Barishal
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,মোর ইসকুলে ম্যালা দোস্তো আছে,Barishal
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,মোর ছোডো বুইন ইসকুলে যাইতে চায় না,Barishal
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,মোর ইসকুলে যাইতে বেমালা ভালো লাগে,Barishal
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে,Barishal
সে বিদ্যালয়ে যেতে চায় না,হ্যায় ইসকুলে যাইতে চায় না,Barishal
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,Barishal
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে,Barishal
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে,Barishal
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ,Barishal
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো,Barishal
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে,Barishal
তোমাদের বাসা কোথায়?,তোমাগো বাড়ি কোম্মে?,Barishal
ঢাকা বাংলাদেশের রাজধানী,ঢাহা বাংলাদেশের রাজধানী,Barishal
তুমি কি আমার সাথে প্রেম করবা?,তুমি কি মোর লগে পেরেম করবা?,Barishal
আমি আজকে সকালে ফুটবল খেলেছি,মুই আইজগো বেইননা কালে ফুটবল খেলছি,Barishal
আমি তোমার মনের কথা বুঝি না,মুই তোমার মনের কথা বোঝতে পারি না,Barishal
তোমার জন্য আমার খুব কষ্ট হয়,তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়,Barishal
আমাদের স্বপ্ন অনেক বড়,মোগো হপোন ম্যালা বড়,Barishal
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে,Barishal
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,Barishal
একটি ছেলে বিছানায় লাফাচ্ছে,এউক্কা পোলা বিছনায় লাফাইতেয়াছে,Barishal
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে,Barishal
একটি ছোট শিশু ফুটপাতে হাঁটছে,এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে,Barishal
আমি একজন ছেলে,মুই এউক্কা পোলা,Barishal
আমি একজন মেয়ে,মুই এউক্কা মাইয়া,Barishal
আমার স্বামী আমাকে খুব ভালোবাসে,মোর জামাই মোরে বেমালা ভালোবাসে,Barishal
স্কুল জীবন থেকে তাদের প্রেম ছিলো,ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ,Barishal
আমি বিবাহ করেছি দশ বছর হয়,মুই বিয়া করছি ১০ বছর হইছে,Barishal
অসম্ভব ভাল ছবি,বেমালা ভালো ছবি,Barishal
বহুদিন পরে একটা ভাল ছবি দেখলাম,ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম,Barishal
অসম্ভব ভালো লিখেছেন,বেমালা ভালো ল্যাখছেন,Barishal
বহুদিন পরে একটা ভালো লেখা পড়লাম,ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম,Barishal
প্রচণ্ড মাথা ব্যথা করছিলো,বেমালা মাথা ব্যাথা করতেয়াছেলে,Barishal
কিছুই বুঝতে পারলাম না,কিছুই বোঝতে পারলাম না,Barishal
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে,Barishal
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে,Barishal
