standard_text,dialect_text,dialect
কেমন আছো ?,কেন আচো?,Chittagong
আজকে আমার মন ভালো নেই,আযিয়া আর মন বালা নাই?,Chittagong
তুমি কি করো ?,তুঁই কি গরো?,Chittagong
এই গরমে আমার কিছু ভালো লাগে না,এই গরমত আত্তুন কিচু বালা ন লাগের,Chittagong
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল,Chittagong
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে,Chittagong
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে,Chittagong
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে,Chittagong
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে,Chittagong
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,Chittagong
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আঁর বউতদিন আগে এব্বার বিয়া অইল,Chittagong
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই,Chittagong
আম্মু ঐদিন ঠিক কথাই বলেছিলও,আম্মু অইদিন টিক হতাই হইল,Chittagong
আম্মু সব সময় আমার মনের কথা বুঝে,আম্মু এগাযা আঁর মনোর হতা বুজে,Chittagong
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে,Chittagong
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়,Chittagong
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,Chittagong
তোমাকে আমি কল দিবো না,তোঁয়ারে আঁই কল ন দিয়ুম,Chittagong
এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিসসান কুব বিরক্তিকর আচিল,Chittagong
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,Chittagong
সে এখন রাজশাহী চলে গেছে,ইতে এহন রাজশাহী গেইয়্যুই,Chittagong
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়,Chittagong
সে একদমই হাসে না,এতে এব্বেরেও ন আসে,Chittagong
সে আমাকে অপমান করে,এতে আঁরে অফমান গইরগে,Chittagong
তাঁর বই পরতে একদমই ভাল লাগে না,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে,Chittagong
আপনার কি বই পড়ার অভ্যাস আছে ?,অনর কি বই ফরার অব্বাস আচে নে,Chittagong
তুমি কি আমাকে চিনো ?,তুঁই কি আঁরে চিনো নে,Chittagong
আমি তোমাকে চিনতে  পারলাম  না,আঁই তোয়াঁরে চিনিত ন ফাইরলাম,Chittagong
আমি তোমাকে আগে কখনো দেখি নাই,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,Chittagong
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে,Chittagong
আপনার পড়ালেখা করা উচিত,অনর ফরালেহা গরা উচিত,Chittagong
আপনাকে পড়ালেখা  করতে হবে,অনোত্তুন ফরালেহা গরা ফরিবো,Chittagong
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,Chittagong
তোর পড়ালেখা কোরতে হবে,তোত্তুন ফরালেহা গরা ফরিবো,Chittagong
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর ফরালেহা ন গরিবি,Chittagong
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি ফরালেহা চারি দিতো চস নিকি,Chittagong
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,Chittagong
তুমি কি এখন খেতে বসবা  ?,তুঁই কি এহন হাইতো বইবা নে,Chittagong
আজকে আমার খেতে ভালো লাগছে না,আযিয়া আঁর হাইতো মনো ন হর,Chittagong
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,আঁর বিদ্যালয়ে বউত বন্দু আচে,Chittagong
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই,Chittagong
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,Chittagong
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে,Chittagong
সে বিদ্যালয়ে যেতে চায় না,ইবা বিদ্যালয়অত যাইত ন চায়,Chittagong
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,Chittagong
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে,Chittagong
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে,Chittagong
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই,Chittagong
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো,Chittagong
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে,Chittagong
তোমাদের বাসা কোথায়?,তোঁয়ারার বাসা হডে,Chittagong
ঢাকা বাংলাদেশের রাজধানী,ডাহা বাংলাদেশঅর রাযদানি,Chittagong
তুমি কি আমার সাথে প্রেম করবা?,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে,Chittagong
আমি আজকে সকালে ফুটবল খেলেছি,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি,Chittagong
আমি তোমার মনের কথা বুঝি না,আঁই তোয়াঁর মন অর হতা বুজি,Chittagong
তোমার জন্য আমার খুব কষ্ট হয়,তোঁয়ার লাই আঁর কুব হস্ট অই,Chittagong
আমাদের স্বপ্ন অনেক বড়,আঁরার সফ্ন বউত ডঅর,Chittagong
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের,Chittagong
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,Chittagong
একটি ছেলে বিছানায় লাফাচ্ছে,ওজ্ঞা ফোয়া বিচানাত ফালার,Chittagong
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে,Chittagong
একটি ছোট শিশু ফুটপাতে হাঁটছে,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের,Chittagong
আমি একজন ছেলে,আঁই ওজ্ঞা ফোয়া,Chittagong
আমি একজন মেয়ে,আঁই ওজ্ঞা মাইফোয়া,Chittagong
আমার স্বামী আমাকে খুব ভালোবাসে,আঁর জামাই আঁরে কুব বালবাসে,Chittagong
স্কুল জীবন থেকে তাদের প্রেম ছিলো,স্কুল যিবন অইতে তারার ফ্রেম আচিল,Chittagong
আমি বিবাহ করেছি দশ বছর হয়,আঁই বিয়া গইরগি দশ বচর অর,Chittagong
অসম্ভব ভাল ছবি,"এব্বারে গম চবি 
",Chittagong
বহুদিন পরে একটা ভাল ছবি দেখলাম,বউদ্দিন ফর এক্কান বালা চবি দেইলাম,Chittagong
অসম্ভব ভালো লিখেছেন,বেশি গম লিকখো,Chittagong
বহুদিন পরে একটা ভালো লেখা পড়লাম,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,Chittagong
প্রচণ্ড মাথা ব্যথা করছিলো,মাতা হঁরাইলদি এএন ন,Chittagong
কিছুই বুঝতে পারলাম না,কিচুই ন বুযিলাম,Chittagong
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়,Chittagong
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক হতায় বউত সুন্দর লাগের অনেরে,Chittagong
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,Chittagong
আপনার হাশির কাছে সব কিছু হার মেনে যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,Chittagong
আপনার চোখ অনেক সুন্দর,অনর চোক বউত সুন্দর,Chittagong
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,Chittagong
অনেক সময় পর আপনাকে দেখছি,বউত দিন ফর অন অরে দেহির,Chittagong
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,দু বাই অর মাযে জাগা জমি লই হইয্যা অই,Chittagong
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,ফরে এক বাই কয়েত গেইয়্যুই আরেক বাই সুদান গেইয়্যুই,Chittagong
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,হদ্দিন বাদে সুদান অত্তুন আইস্যেদে মানুষ ইবা বিয়া গইরগে,Chittagong
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি",মুবাইল চারা বাতরুম অত যাইলে মনো অই যরুরি ফাইল চারা আফিস অত আইস্যি,Chittagong
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,যারারে গাইল দেয়া অই গেইয়্যুয় তারা দয়া গরি লাইন অত্তুন সরি যন,Chittagong
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,ফিচনে আইযো বিউত মানুষ লাইন অত তিয়ায় তাইক্কে,Chittagong
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,তারারে গালি দিবর সুযোগ গরি দন,Chittagong
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,বর বেশি কিচু ন হইয়্যুম হারন আবেগে চোক অত ফানি আ গেইয়্যুয়,Chittagong
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,তুঁই হদ্দে নে যে তাইবার ইতে এনেই তাকিবো,Chittagong
প্রথমে আপনাকে একটি দোকানে যেতে হবে,ফাস্টে অনত্তুন এক্কান দোয়ান অত যা ফরিবো,Chittagong
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,নিযর ফচন্দর বিয়াত বাপ মারে রায গরানো অয়্যে,Chittagong
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,মাইফোয়া ইবা লাল শারি ফিন্দি তিয়ায় তাইক্কে,Chittagong
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,বউওর লাই বলি বন্দুওক্কলর মাযে আর মুক দেহাইবর উফায় নাই,Chittagong
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আঁরে বেজ্ঞুনর সাম্মে মারি মারি বারিত লই আইস্যে,Chittagong
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,আঁই যানি এডে বউত মাইফোয়া কমেন্ট ফরিবার লাই আইবো,Chittagong
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,মাযে মাযে মনো অই বারি গর বেজ্ঞিন মশার নামঅত লেহি দি যঁঅল অত যাইগই,Chittagong
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো",তোঁয়ার অই আচি আঁই তোঁয়ার অই তাইক্কম,Chittagong
সারা জীবন তোমায় আমি ভালবেসে যাবো,আযিবন তোঁয়ারে আঁই বালবাসি যাইয়্যুম,Chittagong
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না",ফাশে তাইক্কো সারাযিবন দুরে ন যাইয়্যু,Chittagong
তোমায় ছাড়া একটুও আমার ভালো লাগে না,তোঁয়ারে চারা আঁর এক্কানাও গম ন লাগে,Chittagong
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ",হনিকারে আবেগের বালবাসা ন দিও মনোর বালবাসা দিও,Chittagong
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,হারন আবেগর বালবাসা একদিন বিবেকর হাচে আরি যাইবই,Chittagong
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,কেন গরি বুজাই তারে আঁই হত বালবাসি,Chittagong
