standard_text,dialect_text,dialect
কেমন আছো ?,কেমত আছো?,Mymensingh
আজকে আমার মন ভালো নেই,আইজ আমার মন ভালা নাই,Mymensingh
তুমি কি করো ?,তুমি কিতা করো?,Mymensingh
এই গরমে আমার কিছু ভালো লাগে না,এই গরমডাত আমার কিছু ভালা লাগে না,Mymensingh
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,Mymensingh
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,Mymensingh
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,ছেড়াটা সিলেটতন ঢাকাত আইসে,Mymensingh
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,Mymensingh
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,Mymensingh
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,Mymensingh
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আমার অনেকদিন আগে একবার বিয়া হইছিল,Mymensingh
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,Mymensingh
আম্মু ঐদিন ঠিক কথাই বলেছিলও,আম্মা অইদিন ঠিক কথাই কইসিল,Mymensingh
আম্মু সব সময় আমার মনের কথা বুঝে,আম্মা সব সময় আমার মনের কথা বুঝে,Mymensingh
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,Mymensingh
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,Mymensingh
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,Mymensingh
তোমাকে আমি কল দিবো না,তোমারে আমি কল দিতাম না,Mymensingh
এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিসটা অনেক বিরক্তিকর আছিল,Mymensingh
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,Mymensingh
সে এখন রাজশাহী চলে গেছে,সে এহন রাজশাহী চইলা গেসে,Mymensingh
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,সে এহন তার বন্ধুরার সাথে সিগারেট খায়,Mymensingh
সে একদমই হাসে না,সে এক্কেরেই হাসেনা,Mymensingh
সে আমাকে অপমান করে,সে আমারে অপমান করে,Mymensingh
তাঁর বই পরতে একদমই ভাল লাগে না,তার বই পড়তে এক্কেরেই ভালালাগেনা,Mymensingh
আপনার কি বই পড়ার অভ্যাস আছে ?,আফনের কি বই পড়ার অভ্যাস আসে?,Mymensingh
তুমি কি আমাকে চিনো ?,তুমি কি আমারে চিনো?,Mymensingh
আমি তোমাকে চিনতে  পারলাম  না,আমি তোমারে চিনতে পারলাম না,Mymensingh
আমি তোমাকে আগে কখনো দেখি নাই,আমি তোমারে আগে কখনো দেখি নাই,Mymensingh
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,Mymensingh
আপনার পড়ালেখা করা উচিত,আপনের পড়ালেহা করা দরকার,Mymensingh
আপনাকে পড়ালেখা  করতে হবে,আপনের পড়ালেহা করতে হইব,Mymensingh
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,Mymensingh
তোর পড়ালেখা কোরতে হবে,তর পড়ালেহা করতে হইব,Mymensingh
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর পড়ালেহা করতি নাহ?,Mymensingh
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি পড়ালেহা ছাইরা দিতে চাস?,Mymensingh
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,Mymensingh
তুমি কি এখন খেতে বসবা  ?,তুমি কি এহন খাইতে বইবা,Mymensingh
আজকে আমার খেতে ভালো লাগছে না,আইজকা আমার খাইতে ভালা লাগতাসেনা,Mymensingh
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,আমার ইস্কুলে অনেক বন্ধু আসে,Mymensingh
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,আমার ছোট বইন ইস্কুলে যাইতে চায় না,Mymensingh
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,আমার ইস্কুলে যাইতে অনেক ভালা লাগে,Mymensingh
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,Mymensingh
সে বিদ্যালয়ে যেতে চায় না,হেয় ইস্কুলে যাইতে চায় না,Mymensingh
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না,Mymensingh
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,Mymensingh
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,Mymensingh
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,Mymensingh
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,Mymensingh
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে,Mymensingh
তোমাদের বাসা কোথায়?,তোমরার বাসা কই?,Mymensingh
ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী।,Mymensingh
তুমি কি আমার সাথে প্রেম করবা?,তুমি কিতা আমার সাথে প্রেম করবা?,Mymensingh
আমি আজকে সকালে ফুটবল খেলেছি,আমি আজকে সকালে ফুটবল খেলছি,Mymensingh
আমি তোমার মনের কথা বুঝি না,আমি তোমার মনের কথা বুঝি না।,Mymensingh
তোমার জন্য আমার খুব কষ্ট হয়,তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,Mymensingh
আমাদের স্বপ্ন অনেক বড়,আমরার স্বপ্ন মেলা বড়,Mymensingh
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,Mymensingh
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,Mymensingh
একটি ছেলে বিছানায় লাফাচ্ছে,একটা ছেড়া বিছানাত লাফাইতাসে,Mymensingh
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,Mymensingh
একটি ছোট শিশু ফুটপাতে হাঁটছে,একটা ছুটো আবু ফুটপাতে হাটতাসে,Mymensingh
আমি একজন ছেলে,আমি একটা ছেড়া,Mymensingh
আমি একজন মেয়ে,আমি একটা ছেড়ি,Mymensingh
আমার স্বামী আমাকে খুব ভালোবাসে,আমার জামাই আমারে মেলা ভালবাসে,Mymensingh
স্কুল জীবন থেকে তাদের প্রেম ছিলো,ইস্কুল জীবনতে তারার প্রেম আসিল,Mymensingh
আমি বিবাহ করেছি দশ বছর হয়,আমি বিয়া করসি দশ বছর হইসে,Mymensingh
অসম্ভব ভাল ছবি,অসম্ভব ভালা ছবি,Mymensingh
বহুদিন পরে একটা ভাল ছবি দেখলাম,মেলাদিন পরে একটা ভালা ছবি দেখলাম,Mymensingh
অসম্ভব ভালো লিখেছেন,অসম্ভব ভালা লিখসেন,Mymensingh
বহুদিন পরে একটা ভালো লেখা পড়লাম,মেলাদিন বাদে একটা ভালা লেহা পড়লাম,Mymensingh
প্রচণ্ড মাথা ব্যথা করছিলো,বহুত মাথা ব্যথা করতাসিলো,Mymensingh
কিছুই বুঝতে পারলাম না,কিনুতাই বুঝতে পারলাম না,Mymensingh
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে,Mymensingh
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,Mymensingh
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,Mymensingh
আপনার হাশির কাছে সব কিছু হার মেনে যায়,আফনের হাসির কাসে বেক কিসু হার মানে,Mymensingh
আপনার চোখ অনেক সুন্দর,আফনের চোখ মেলা সুন্দর,Mymensingh
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,আফনের লগে পরিচিত হয়া ভালা লাগলো,Mymensingh
