standard_text,dialect_text,dialect
কেমন আছো ?,কেইক্কান আছেন ?,Noakhali
আজকে আমার মন ভালো নেই,আইজ্জা আর মন ভালা নাই,Noakhali
তুমি কি করো ?,তুমি কিআ করর ?,Noakhali
এই গরমে আমার কিছু ভালো লাগে না,এতো গরমে আর কিচ্ছু ভালা লাগে না,Noakhali
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,পোলাডা একটা সাদা রং এর শার্ট পড়ি আইসিলো,Noakhali
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইয়াডা লাল রং এর শাড়ি পরি আমার লগে দেখা করতে আইসিলো,Noakhali
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,পোলাডা সিলেট থেইকা ঢাকায় আইসে,Noakhali
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইয়াডা সিলেট থেইকা আশা পোলাডারে অনেক ভালোবাসে,Noakhali
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,পোলাডা মাইয়াডারে এখনো ভালোবাসার চোখে দেখেনো,Noakhali
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে, মাইয়াদা  হিগার  স্বপ্নের ভিতরে খালি পোলাগারে লই চিন্তা করতে থাকে ,Noakhali
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আর অনেকদিন আগে একবার বিয়া অইছিলো,Noakhali
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আর মা অরে কৈসিলো বিয়া হইলে জীবন পরিবর্তন হয়ে  যায়,Noakhali
আম্মু ঐদিন ঠিক কথাই বলেছিলও,মা যেদিন ঠিক কথা যে কৈসিলো,Noakhali
আম্মু সব সময় আমার মনের কথা বুঝে,আম্মা   বেক সময় আর মনের কথা বুঝে ,Noakhali
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আনগো বাসার কামের মাইয়া ইগা ওন আর ভালা  কাম করে না,Noakhali
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আনগো বাসার কামের মাইয়া ইগা দুইদিন ধরি পলাইরৈসে ,Noakhali
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আনগো বাড়ির দারোয়ান হেতের গ্রামের বাড়ি গেচে গুরবার লাই,Noakhali
তোমাকে আমি কল দিবো না,আন্নেরে আই কল দিমু না,Noakhali
এই জিনিষটা খুবই বিরক্তিকর ছিল,ইয়ান বেশি অসইজ্যো আসিল,Noakhali
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,হেয় শীলোট তুন আর লগে দেয়া কইত্তে আইছিল,Noakhali
সে এখন রাজশাহী চলে গেছে,হেয় অন রাসসায়ী চলি গেছে,Noakhali
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,হেতে অন হেতের দোস্তের লগে বিড়ি টানে,Noakhali
সে একদমই হাসে না,হেতে এক্কারেই আশেনা,Noakhali
সে আমাকে অপমান করে,হিগা আরে বেইজ্জুদি করে,Noakhali
