standard_text,dialect_text,dialect
কেমন আছো ?,ভালা আছনি?,Sylhet
আজকে আমার মন ভালো নেই,আইজকু আমার মন ভালা নায়,Sylhet
তুমি কি করো ?,তুমি কিতা খরো?,Sylhet
এই গরমে আমার কিছু ভালো লাগে না,অউ গরমো আমার কুনতা ভালা লাগের না,Sylhet
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল,Sylhet
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল,Sylhet
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,ফুয়াটায় সিলেট থাকি ঢাকাত আইছে,Sylhet
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়,Sylhet
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না,Sylhet
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,Sylhet
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আমার বাক্কা আগে এখবার বিয়া অইছিল,Sylhet
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,Sylhet
আম্মু ঐদিন ঠিক কথাই বলেছিলও,আম্মায় হেদিন ঠিক কথাউ কইছলা,Sylhet
আম্মু সব সময় আমার মনের কথা বুঝে,আম্মায় হখল সময় অউ আমার মনর কথা বুজইন,Sylhet
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না,Sylhet
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত ,Sylhet
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে,Sylhet
তোমাকে আমি কল দিবো না,আমি তুমারে কল দিতাম নায় ,Sylhet
এই জিনিষটা খুবই বিরক্তিকর ছিল,অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,Sylhet
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,Sylhet
সে এখন রাজশাহী চলে গেছে,হে এখন রাজশাহীত গেছে গিয়া,Sylhet
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়,Sylhet
সে একদমই হাসে না,হে এখেবারেউ হাসে না,Sylhet
